--------------------------------------------------------------------
TestCaseNum: 2aa
Popln_Size: 20
Max_Generations: 500
Mutation_percent: 5
Num_Games: 10
Max_Moves: 200
N_percent: 30
Selection: TS
Crossover: Cross1
--------------------------------------------------------------------

Gen no.	AvgFit	BestCandidate	BestFitness
295	13.659999999999997	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
296	14.094999999999995	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
297	13.734999999999996	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
298	13.604999999999999	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
299	13.84	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
300	13.934999999999999	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
301	13.875	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
302	13.514999999999997	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
303	13.974999999999998	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
304	13.849999999999998	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
305	14.040000000000001	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
306	13.919999999999998	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
307	13.895	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
308	14.105	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
309	14.035	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
310	13.820000000000002	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
311	13.804999999999996	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
312	13.864999999999995	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
313	13.724999999999998	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
314	13.829999999999995	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
315	13.719999999999999	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
